Lato A;Lato B;Tag
Che cos'è un algoritmo?;Una sequenza finita di istruzioni che descrive come eseguire un compito;Informatica
Capitale della Francia?;Parigi;Geografia
E=mc^2 rappresenta...?;La relazione tra energia, massa e velocità della luce;Fisica
Chi ha scritto "La Divina Commedia"?;Dante Alighieri;Letteratura
Hello in spagnolo;Hola;Lingue
Simbolo chimico dell'acqua;H2O;Chimica
Anno di inizio della Seconda Guerra Mondiale;1939;Storia
Pi greco approssimato a 2 decimali;3.14;Matematica
Cosa fa una CPU?;Elabora istruzioni e dati nei computer;Tecnologia
Formula dell'area del cerchio;π × r²;Geometria
